Citation number,Verdict,Correct,Artice,Model,Ground truth
1,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
2,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
3,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
2,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
4,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
4,Error,No,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
4,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
8,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
11,Partially supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Partially supported
12,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
13,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
14,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
15,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
20,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
25,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
29,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
33,Partially supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Partially supported
34,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
42,Error,,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Not supported
43,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
46,Supported,Partially,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Partially supported
33,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Apertus8,Supported
1,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Qwen,Supported
3,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565521,Qwen,Supported
4,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565522,Qwen,Supported
5,Supported,Yes,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565523,Qwen,Supported
1,Supported,yes,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565529,Qwen,Supported
11,Supported,yes,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565530,Qwen,Supported
1,Supported,yes,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565531,Qwen,Supported
